Location,Minimum,Average,Maximum
Ueckermünde,53.7389,53.7389,53.7389,1
Zhoujia,35.2976,35.2976,35.2976,1
Nioro du Rip,13.75,13.75,13.75,1
Susa,5.4528,5.4528,5.4528,1
Tiruvalanjuli,10.9449,10.9449,10.9449,1
Dehqonobod,37.6333,39.08235,40.5314,2
Muğla,37.2167,37.2167,37.2167,1
Chkalovsk,56.7667,56.7667,56.7667,1
East Hampton,41.0117,41.29065,41.5696,2
Parsippany-Troy Hills,40.8601,40.8601,40.8601,1
Nogent-le-Rotrou,48.3217,48.3217,48.3217,1
Kikuchi,32.9833,32.9833,32.9833,1
Mangatarem,15.7874,15.7874,15.7874,1
Valmiera,57.55,57.55,57.55,1
Rocky Hill,41.6572,41.6572,41.6572,1
Jaisinghpur,26.6318,26.6318,26.6318,1
Hilvarenbeek,51.4833,51.4833,51.4833,1
Gudgeri,15.1225,15.1225,15.1225,1
Foley,30.3983,30.3983,30.3983,1
Paso de Ovejas,19.285,19.285,19.285,1
Ekerö,59.2833,59.2833,59.2833,1
Orikhiv,47.5677,47.5677,47.5677,1
Escuintla,15.3193,15.3193,15.3193,1
Imilchil,32.155,32.155,32.155,1
Kidričevo,46.406,46.406,46.406,1
Libertyville,42.287,42.287,42.287,1
Keren,15.7778,15.7778,15.7778,1
Mikkelin Maalaiskunta,61.6776,61.6776,61.6776,1
Castilho,-20.8722,-20.8722,-20.8722,1
Patālia,25.66,25.66,25.66,1
Montbéliard,47.51,47.51,47.51,1
Hernani,11.3239,27.2953,43.2667,2
Antsiranana,-12.3,-12.3,-12.3,1
Östersund,63.1792,63.1792,63.1792,1
Actopan,19.5036,19.885849,20.2681,2
Zernograd,46.85,46.85,46.85,1
Cuatro Ciénegas de Carranza,26.9861,26.9861,26.9861,1
Casas Adobes,32.3423,32.3423,32.3423,1
Waldkirchen,48.7305,48.7305,48.7305,1
Seriate,45.6847,45.6847,45.6847,1
Levanger,63.7465,63.7465,63.7465,1
Ferney-Voltaire,46.2558,46.2558,46.2558,1
Pachmīr,25.4077,25.4077,25.4077,1
Stony Plain,53.5264,53.5264,53.5264,1
Dimbokro,6.65,6.65,6.65,1
Saint Bernard,10.2833,10.2833,10.2833,1
Corleone,37.8167,37.8167,37.8167,1
Kerch,45.3619,45.3619,45.3619,1
McKinleyville,40.9488,40.9488,40.9488,1
Briceni,48.3611,48.3611,48.3611,1
Hercules,38.0064,38.0064,38.0064,1
Pingyuanjie,23.7472,23.7472,23.7472,1
Kučevo,44.4833,44.4833,44.4833,1
Yerbas Buenas,-35.75,-35.75,-35.75,1
Kiryandongo,1.9525,1.9525,1.9525,1
Nancagua,-34.6667,-34.6667,-34.6667,1
Riofrío,4.1561,4.1561,4.1561,1
Kleve,51.79,51.79,51.79,1
Crewe,53.099,53.099,53.099,1
Middle Island,40.8857,40.8857,40.8857,1
Neuhof,50.4333,50.4333,50.4333,1
Andriivka,49.5325,49.5325,49.5325,1
Bataguaçu,-21.7139,-21.7139,-21.7139,1
Mascoutah,38.5192,38.5192,38.5192,1
Sondrio,46.1697,46.1697,46.1697,1
Suwa,36.0391,36.0391,36.0391,1
Bresso,45.5333,45.5333,45.5333,1
Socorro,-22.5908,12.051917,34.0543,6
Curvelo,-18.7558,-18.7558,-18.7558,1
Abra Pampa,-22.7167,-22.7167,-22.7167,1
Berezniki,59.4167,59.4167,59.4167,1
Madīnat ‘Īsá,26.1736,26.1736,26.1736,1
Belle Chasse,29.8558,29.8558,29.8558,1
Kakegawa,34.7687,34.7687,34.7687,1
Vinzons,14.1739,14.1739,14.1739,1
Itariri,-24.2888,-24.2888,-24.2888,1
Westmount,45.4833,45.4833,45.4833,1
Asunción Mita,14.3333,14.3333,14.3333,1
Čoka,45.9333,45.9333,45.9333,1
Moline,41.4821,41.4821,41.4821,1
Sacavém,38.7944,38.7944,38.7944,1
Molina,-35.1144,-35.1144,-35.1144,1
Zima,53.9167,53.9167,53.9167,1
Miraí,-21.195,-21.195,-21.195,1
Porac,15.0719,15.0719,15.0719,1
Nakło nad Notecią,53.1403,53.1403,53.1403,1
Boussé,12.6667,12.6667,12.6667,1
Scugog,44.09,44.09,44.09,1
Laramie,41.3099,41.3099,41.3099,1
Bourg-la-Reine,48.7796,48.7796,48.7796,1
Befasy,-20.5667,-20.5667,-20.5667,1
Suzu,37.4363,37.4363,37.4363,1
Hövelhof,51.8167,51.8167,51.8167,1
Ranquitte,19.4167,19.4167,19.4167,1
Roanoke Rapids,36.4452,36.4452,36.4452,1
Norrtälje,59.7667,59.7667,59.7667,1
Zile,40.3,40.3,40.3,1
Liubotyn,49.9489,49.9489,49.9489,1
Jales,-20.2689,-20.2689,-20.2689,1
East Palo Alto,37.4671,37.4671,37.4671,1
Khonobod,40.2,40.2,40.2,1
Wilton,41.207,42.1786,43.1502,2
Magny-le-Hongre,48.8631,48.8631,48.8631,1
Laheji,26.0957,26.0957,26.0957,1
Whitewater,42.8372,42.8372,42.8372,1
Kangning,38.0176,38.0176,38.0176,1
Diest,50.9847,50.9847,50.9847,1
Codlea,45.6969,45.6969,45.6969,1
Sambava,-14.2667,-14.2667,-14.2667,1
South Lake Tahoe,38.9393,38.9393,38.9393,1
Miren,45.8962,45.8962,45.8962,1
Araripina,-7.55,-7.55,-7.55,1
Aborlan,9.4386,9.4386,9.4386,1
Bairnsdale,-37.8333,-37.8333,-37.8333,1
Riolândia,-19.99,-19.99,-19.99,1
Junnar,19.2,19.2,19.2,1
Ấp Tân Ngãi,10.2369,10.2369,10.2369,1
Rignano Flaminio,42.2,42.2,42.2,1
Bālia,24.2433,24.2433,24.2433,1
Pipariya,25.2593,25.2593,25.2593,1
Chalma,21.2167,21.2167,21.2167,1
Suyo,16.9839,16.9839,16.9839,1
Veauche,45.5619,45.5619,45.5619,1
Zion,42.4603,42.4603,42.4603,1
Formiga,-20.4639,-20.4639,-20.4639,1
Meppen,52.6936,52.6936,52.6936,1
Sint-Truiden,50.8167,50.8167,50.8167,1
Auhar Sheikh,26.7216,26.7216,26.7216,1
Wishaw,55.7742,55.7742,55.7742,1
Pārvatipuram,18.78,18.78,18.78,1
Wiener Neudorf,48.0856,48.0856,48.0856,1
Tierra Colorada,17.1656,17.1656,17.1656,1
Khānsāhibpuram,9.6304,9.6304,9.6304,1
Schwarzenberg,50.5453,50.5453,50.5453,1
Lauria Inferiore,40.05,40.05,40.05,1
Halewood,53.3599,53.3599,53.3599,1
Pfaffenhofen,48.5333,48.5333,48.5333,1
Sirumugai,11.3214,11.3214,11.3214,1
Panjgirāin Kalān,30.6096,30.6096,30.6096,1
Mangghystaū,43.6905,43.6905,43.6905,1
Fairbanks,64.8353,64.8353,64.8353,1
Cervantes,16.9917,16.9917,16.9917,1
Leamington,42.0667,42.0667,42.0667,1
Tournan-en-Brie,48.7406,48.7406,48.7406,1
Santa Lucia di Piave,45.85,45.85,45.85,1
Lauffen am Neckar,49.0833,49.0833,49.0833,1
Chicopee,42.1764,42.1764,42.1764,1
Gukeng,23.65,23.65,23.65,1
Yangshuling,40.9942,40.9942,40.9942,1
Bolgatanga,10.7833,10.7833,10.7833,1
Huehuetenango,15.3147,15.3147,15.3147,1
Crest,44.7283,44.7283,44.7283,1
El Tortuguero,12.8183,12.8183,12.8183,1
Meppel,52.7,52.7,52.7,1
Caravelas,-17.7319,-17.7319,-17.7319,1
Myronivka,49.65,49.65,49.65,1
Arkansas City,37.0726,37.0726,37.0726,1
Forssa,60.8167,60.8167,60.8167,1
Sankt Augustin,50.77,50.77,50.77,1
Lufkin,31.3217,31.3217,31.3217,1
Wettingen,47.4659,47.4659,47.4659,1
Vecchiano,43.7833,43.7833,43.7833,1
Birao,10.294,10.294,10.294,1
Itaquara,-13.4508,-13.4508,-13.4508,1
Calderara di Reno,44.5667,44.5667,44.5667,1
Gerāsh,27.6672,27.6672,27.6672,1
Catanduva,-21.1378,-21.1378,-21.1378,1
Tvøroyri,61.5544,61.5544,61.5544,1
Bousso,10.4825,10.4825,10.4825,1
Kot Fatah,30.1122,30.1122,30.1122,1
Glen Rock,40.9601,40.9601,40.9601,1
Doranāla,15.9076,15.9076,15.9076,1
Le Grand-Quevilly,49.4072,49.4072,49.4072,1
South River,40.4455,40.4455,40.4455,1
Boussu,50.4331,50.4331,50.4331,1
Rehburg-Loccum,52.4508,52.4508,52.4508,1
Attanūr,11.5006,11.5006,11.5006,1
Nānpāra,27.87,27.87,27.87,1
Vadakku Viravanallur,8.6979,8.6979,8.6979,1
Hirekerūr,14.4551,14.4551,14.4551,1
Gāndlapenta,14.05,14.05,14.05,1
Waregem,50.8811,50.8811,50.8811,1
Fujikawa,35.5612,35.5612,35.5612,1
Huron,44.3623,44.3623,44.3623,1
Mohanūr,11.0594,11.0594,11.0594,1
Munch’ŏn,39.259,39.259,39.259,1
Tullinge,59.2,59.2,59.2,1
Mirik,26.887,26.887,26.887,1
Rogatec,46.2243,46.2243,46.2243,1
Fulgāzi,23.1333,23.1333,23.1333,1
Pagalungan,7.0592,7.0592,7.0592,1
Rychnov nad Kněžnou,50.1629,50.1629,50.1629,1
Pau d’Alho,-7.8969,-7.8969,-7.8969,1
Campina Verde,-19.5358,-19.5358,-19.5358,1
Guarambaré,-25.49,-25.49,-25.49,1
Zlatograd,41.3833,41.3833,41.3833,1
Stoneham,42.4741,42.4741,42.4741,1
Rubiera,44.65,44.65,44.65,1
Shibām,15.9269,15.9269,15.9269,1
Uchkeken,43.9333,43.9333,43.9333,1
Framingham,42.3085,42.3085,42.3085,1
Hire Vadvatti,15.2235,15.2235,15.2235,1
Távros,37.9667,37.9667,37.9667,1
Esfarāyen,37.0764,37.0764,37.0764,1
Indian Trail,35.0699,35.0699,35.0699,1
Voitsberg,47.0483,47.0483,47.0483,1
Cantemir,46.2667,46.2667,46.2667,1
Mahavanona,-12.45,-12.45,-12.45,1
Phon Charoen,18.0258,18.0258,18.0258,1
Gmunden,47.9181,47.9181,47.9181,1
Le Pecq,48.8967,48.8967,48.8967,1
Kaffrine,14.1014,14.1014,14.1014,1
Guayacanes,18.4533,18.4533,18.4533,1
Las Mercedes,8.5104,8.5104,8.5104,1
Grand Terrace,34.0312,34.0312,34.0312,1
Saalfeld,50.65,50.65,50.65,1
Ealing,51.5175,51.5175,51.5175,1
Cevicos,19.0,19.0,19.0,1
Arras,50.292,50.292,50.292,1
La Riche,47.3892,47.3892,47.3892,1
Monte Rico,-24.4514,-24.4514,-24.4514,1
Sulebhāvi,15.88,15.88,15.88,1
Wanstead,51.5778,51.5778,51.5778,1
Pangunattam,12.1112,12.1112,12.1112,1
Mirna,45.9476,45.9476,45.9476,1
Lalganj,26.1277,26.1277,26.1277,1
Schaan,47.1667,47.1667,47.1667,1
Kourimat,31.45,31.45,31.45,1
El Amim,32.2067,32.2067,32.2067,1
Melito di Porto Salvo,37.9167,37.9167,37.9167,1
Narot Mehra,32.2673,32.2673,32.2673,1
Khānābād,36.6831,36.6831,36.6831,1
Ấp Khánh Hưng,10.2,10.2,10.2,1
Pamplona,7.3781,12.22585,18.4661,4
Joünié,33.9697,33.9697,33.9697,1
Mailapur,13.021,13.021,13.021,1
Richterich,50.8086,50.8086,50.8086,1
Santiago Sacatepéquez,14.653,14.653,14.653,1
Busumbala,13.3333,13.3333,13.3333,1
Niles,41.1879,41.68343,42.0278,3
Zarinsk,53.7089,53.7089,53.7089,1
Vulcan,45.3811,45.3811,45.3811,1
Taree,-31.9,-31.9,-31.9,1
Hurst,32.8353,32.8353,32.8353,1
Beaufort,32.4597,32.4597,32.4597,1
Crema,45.3667,45.3667,45.3667,1
Maribondo,-9.5769,-9.5769,-9.5769,1
Waycross,31.2108,31.2108,31.2108,1
Old Jamestown,38.8394,38.8394,38.8394,1
Holzkirchen,47.8833,47.8833,47.8833,1
Diré,16.2667,16.2667,16.2667,1
Dongshi,23.4748,23.4748,23.4748,1
Phichit,16.4431,16.4431,16.4431,1
Sukkāmpatti,10.5267,10.5267,10.5267,1
Novyi Rozdil,49.4703,49.4703,49.4703,1
Herbrechtingen,48.6253,48.6253,48.6253,1
Iesolo,45.5331,45.5331,45.5331,1
Takahama,34.9275,35.2089,35.4903,2
Balderton,53.0549,53.0549,53.0549,1
Bailleston,55.8474,55.8474,55.8474,1
Yeghegnadzor,39.7611,39.7611,39.7611,1
Medleri,14.6667,14.6667,14.6667,1
Boudouaou,36.73,36.73,36.73,1
Cheshunt,51.702,51.702,51.702,1
Aydıncık,36.1417,38.1292,40.1167,2
Catalão,-18.17,-18.17,-18.17,1
Terracina,41.2833,41.2833,41.2833,1
Ambodimanga II,-17.2667,-17.2667,-17.2667,1
Aizenay,46.74,46.74,46.74,1
Karsaut,26.1298,26.1298,26.1298,1
Kārīz,34.8128,34.8128,34.8128,1
Toucheng,24.85,24.85,24.85,1
Kasumigaura,36.1517,36.1517,36.1517,1
Kotlas,61.25,61.25,61.25,1
Formoso do Araguaia,-11.7969,-11.7969,-11.7969,1
Hundested,55.9667,55.9667,55.9667,1
Suwannaphum,15.6078,15.6078,15.6078,1
Presidente Getúlio,-27.0508,-27.0508,-27.0508,1
Theux,50.5349,50.5349,50.5349,1
Thaba-Tseka,-29.5333,-29.5333,-29.5333,1
Champs-Sur-Marne,48.8529,48.8529,48.8529,1
Wasilla,61.577,61.577,61.577,1
Bhawānipatna,19.91,19.91,19.91,1
Kingisepp,59.3667,59.3667,59.3667,1
Città di Castello,43.4608,43.4608,43.4608,1
Toulou,14.1688,14.1688,14.1688,1
Santo Tomás de los Plátanos,19.1817,19.1817,19.1817,1
La Máquina,14.3021,14.3021,14.3021,1
Centenário do Sul,-22.8208,-22.8208,-22.8208,1
North New Hyde Park,40.746,40.746,40.746,1
Greene,39.9543,39.9543,39.9543,1
Sidi Allal el Bahraoui,33.983,33.983,33.983,1
Shoyna,67.8778,67.8778,67.8778,1
Bukungu,1.4361,1.4361,1.4361,1
Ortigueira,-24.2078,-24.2078,-24.2078,1
Lacombe,52.4683,52.4683,52.4683,1
Fortim,-4.45,-4.45,-4.45,1
Saugerties,42.0891,42.0891,42.0891,1
Capitán Bado,-23.26,-23.26,-23.26,1
Oftersheim,49.3706,49.3706,49.3706,1
Collingwood,44.5,44.5,44.5,1
Ypejhú,-23.91,-23.91,-23.91,1
Adendorf,53.2833,53.2833,53.2833,1
Temerin,45.4167,45.4167,45.4167,1
Telmar,25.4237,25.4237,25.4237,1
Baie du Tombeau,-20.1138,-20.1138,-20.1138,1
Bāgh-e Malek,31.5231,31.5231,31.5231,1
Midway,30.4169,30.4169,30.4169,1
New Corella,7.5866,7.5866,7.5866,1
Pageralam,-4.0217,-4.0217,-4.0217,1
Mumias,0.3333,0.3333,0.3333,1
Jacaré,-18.9058,-18.9058,-18.9058,1
Lal-lo,18.2,18.2,18.2,1
San Alberto,7.7525,7.7525,7.7525,1
Toyooka,35.55,35.55,35.55,1
Karlshamn,56.1667,56.1667,56.1667,1
Gryfino,53.2531,53.2531,53.2531,1
Magalia,39.8228,39.8228,39.8228,1
Susurluk,39.9139,39.9139,39.9139,1
Bīleh Savār,39.3778,39.3778,39.3778,1
Dobryanka,58.4667,58.4667,58.4667,1
Santa Luzia,-15.4289,-11.1504,-6.8719,2
Saint-Martin-de-Crau,43.6397,43.6397,43.6397,1
The Crossings,25.6708,25.6708,25.6708,1
Pie de Pató,5.5333,5.5333,5.5333,1
Surbo,40.4,40.4,40.4,1
Voskresensk,55.3167,55.3167,55.3167,1
Creil,49.2583,49.2583,49.2583,1
Sidi Dahbi,33.05,33.05,33.05,1
Vyksa,55.3167,55.3167,55.3167,1
Pearland,29.5581,29.5581,29.5581,1
Featherstone,53.7,53.7,53.7,1
Oakbrook,38.9996,38.9996,38.9996,1
Čáslav,49.9117,49.9117,49.9117,1
Pichucalco,17.5167,17.5167,17.5167,1
Santa Fe de Antioquia,6.55,6.55,6.55,1
Aldine,29.9123,29.9123,29.9123,1
Anapoima,4.5503,4.5503,4.5503,1
Jalor,25.35,25.35,25.35,1
Helsinge,56.0222,56.0222,56.0222,1
Áno Sýros,37.45,37.45,37.45,1
Turangi,-38.9889,-38.9889,-38.9889,1
Sundarnagar,31.53,31.53,31.53,1
Agadir Melloul,30.2167,30.2167,30.2167,1
Xireg,36.9257,36.9257,36.9257,1
Maralal,1.1,1.1,1.1,1
Tom Price,-22.6939,-22.6939,-22.6939,1
Tinambac,13.8183,13.8183,13.8183,1
Ust’-Kamchatsk,56.2167,56.2167,56.2167,1
Hervey Bay,-25.29,-25.29,-25.29,1
Springboro,39.5615,39.5615,39.5615,1
Rossano,39.5667,39.5667,39.5667,1
Gubkin,51.2833,51.2833,51.2833,1
Trelew,-43.25,-43.25,-43.25,1
Qornet Chahouâne,33.92,33.92,33.92,1
Ordubad,38.9081,38.9081,38.9081,1
Jilotlán de los Dolores,19.3719,19.3719,19.3719,1
Clarines,9.9433,9.9433,9.9433,1
Frankfort Square,41.5219,41.5219,41.5219,1
Coral Hills,38.8706,38.8706,38.8706,1
Carepa,7.7578,7.7578,7.7578,1
Ansbach,49.3,49.3,49.3,1
Mirzānagar,25.7726,25.7726,25.7726,1
Tolongoina,-21.55,-21.55,-21.55,1
Gryfice,53.9147,53.9147,53.9147,1
Hayes,51.378,51.44535,51.5127,2
Lechang,35.6415,35.6415,35.6415,1
Corridonia,43.25,43.25,43.25,1
Munakata,33.8,33.8,33.8,1
Hendersonville,35.3247,35.8155,36.3063,2
Greece,43.246,43.246,43.246,1
Aringay,16.3982,16.3982,16.3982,1
Andilanatoby,-17.9333,-17.9333,-17.9333,1
Tarma,-11.4186,-11.4186,-11.4186,1
Chimākurti,15.5819,15.5819,15.5819,1
Pedappai,12.8854,12.8854,12.8854,1
Aberystwyth,52.414,52.414,52.414,1
Balatonfüred,46.95,46.95,46.95,1
Charxin,39.6967,39.6967,39.6967,1
Ōiso,35.3069,35.3069,35.3069,1
Bezerros,-8.2333,-8.2333,-8.2333,1
Morafeno,-21.2,-18.25332,-14.4,5
Kushmanchi,17.2263,17.2263,17.2263,1
Vazante,-17.9869,-17.9869,-17.9869,1
Cudworth,53.5784,53.5784,53.5784,1
Esztergom,47.7856,47.7856,47.7856,1
Vohitrandriana,-20.75,-20.75,-20.75,1
Uspenka,48.3939,48.3939,48.3939,1
Santa Terezinha de Goiás,-14.4378,-14.4378,-14.4378,1
Gautampura,22.9866,22.9866,22.9866,1
Masqaţ,23.5889,23.5889,23.5889,1
Cesano Maderno,45.6307,45.6307,45.6307,1
Velké Meziříčí,49.3553,49.3553,49.3553,1
Collegedale,35.0526,35.0526,35.0526,1
Thikriwāla,30.4328,30.4328,30.4328,1
Sukand,26.6444,26.6444,26.6444,1
Chamba,8.7,8.7,8.7,1
Uludere,37.446,37.446,37.446,1
Glassboro,39.7014,39.7014,39.7014,1
Kalmthout,51.3833,51.3833,51.3833,1
Ban Mueang Nga,18.5997,18.5997,18.5997,1
Al Qays,28.4833,28.4833,28.4833,1
Biancavilla,37.65,37.65,37.65,1
Green River,41.5127,41.5127,41.5127,1
Porsa,26.67,26.67,26.67,1
Queimadas,-10.9778,-10.9778,-10.9778,1
Lincoln Park,40.9239,41.58355,42.2432,2
Codegua,-34.0347,-34.0347,-34.0347,1
Punceres,9.9661,9.9661,9.9661,1
Ankiabe-Salohy,-15.6,-15.6,-15.6,1
Butler,40.8616,40.9487,41.0358,2
Cañasgordas,6.7497,6.7497,6.7497,1
Ermita,14.583,14.583,14.583,1
Paglat,6.7811,6.7811,6.7811,1
Hombrechtikon,47.25,47.25,47.25,1
Khemis Sahel,35.25,35.25,35.25,1
Chaman,30.921,30.921,30.921,1
Polavaram,17.25,17.25,17.25,1
Pantelhó,17.0067,17.0067,17.0067,1
Kovrov,56.3683,56.3683,56.3683,1
Scottsboro,34.6438,34.6438,34.6438,1
Agarpur,25.1957,25.1957,25.1957,1
Diabougou,14.5431,14.5431,14.5431,1
Porto,-3.8928,-3.8928,-3.8928,1
Brejinho,-6.1908,-6.1908,-6.1908,1
Laukaa,62.4167,62.4167,62.4167,1
Snodland,51.328,51.328,51.328,1
Nilka,43.7826,43.7826,43.7826,1
Abovyan,40.2739,40.2739,40.2739,1
Myrza-Ake,40.75,40.75,40.75,1
Al Fayd,30.6167,30.6167,30.6167,1
Guidan Roumdji,13.6575,13.6575,13.6575,1
Takahagi,36.7192,36.7192,36.7192,1
Campanha,-21.8389,-21.8389,-21.8389,1
Suonan,35.6634,35.6634,35.6634,1
Lagonglong,8.8,8.8,8.8,1
Sermādevi,8.6873,8.6873,8.6873,1
San Felipe,-32.75,9.88866,31.0275,5
Keratsíni,37.9667,37.9667,37.9667,1
Eduttavāynattam,11.8057,11.8057,11.8057,1
Banda del Río Salí,-26.85,-26.85,-26.85,1
Montville,40.9135,41.188553,41.4636,2
Cercado Abajo,18.73,18.73,18.73,1
Leninskoe,42.9806,42.9806,42.9806,1
Mays Chapel,39.4343,39.4343,39.4343,1
Sapucaia,-21.995,-21.995,-21.995,1
Gardendale,33.6677,33.6677,33.6677,1
Arumanallūr,8.3167,8.3167,8.3167,1
Kérou,10.825,10.825,10.825,1
Bozyazı,36.1,36.1,36.1,1
Herohalli,12.9911,12.9911,12.9911,1
Spello,42.9889,42.9889,42.9889,1
Catigbian,9.8333,9.8333,9.8333,1
Zirə,40.3636,40.3636,40.3636,1
Surin,14.8864,14.8864,14.8864,1
Mableton,33.8133,33.8133,33.8133,1
Ronda Alta,-27.7669,-27.7669,-27.7669,1
Wangjiabian,38.2412,38.2412,38.2412,1
Spelle,52.3667,52.3667,52.3667,1
Borgerhout,51.2117,51.2117,51.2117,1
Great Baddow,51.719,51.719,51.719,1
Pithāpuram,17.1167,17.1167,17.1167,1
Nishigō,37.1417,37.1417,37.1417,1
Kllokot,42.3667,42.3667,42.3667,1
Veinticinco de Mayo,-37.7712,-36.59395,-35.4167,2
Bobleshwar,16.83,16.83,16.83,1
Nomimachi,36.447,36.447,36.447,1
Soatanana,-21.3833,-21.3833,-21.3833,1
Round Lake,42.3435,42.3435,42.3435,1
Jiaohe,38.0228,38.0228,38.0228,1
General Luna,9.7836,11.735849,13.6881,2
Bois-Colombes,48.9175,48.9175,48.9175,1
Addlestone,51.3695,51.3695,51.3695,1
Toulal,32.3036,32.3036,32.3036,1
Kalingiyam,11.4324,11.4324,11.4324,1
Prattville,32.4597,32.4597,32.4597,1
Wangjiaxian,36.5443,36.5443,36.5443,1
Ivandrika,-22.8667,-22.8667,-22.8667,1
Blue Ash,39.248,39.248,39.248,1
Sadabe,-18.6333,-18.6333,-18.6333,1
Winfield,37.274,39.576347,41.8787,2
Perivale,51.5383,51.5383,51.5383,1
Stephanskirchen,47.85,47.85,47.85,1
Sevanagala,6.3867,6.3867,6.3867,1
Birobidzhan,48.8,48.8,48.8,1
Corroios,38.6147,38.6147,38.6147,1
Mahādebnagar,24.6896,24.6896,24.6896,1
Dharān,26.8167,26.8167,26.8167,1
Gounarou,10.8667,10.8667,10.8667,1
Simões,-7.5989,-7.5989,-7.5989,1
Soumagne,50.6167,50.6167,50.6167,1
Cesson,48.5658,48.5658,48.5658,1
Écaussinnes-Lalaing,50.5667,50.5667,50.5667,1
Tamār,23.0488,23.0488,23.0488,1
Hayle,50.186,50.186,50.186,1
Pandireddigūdem,16.8,16.8,16.8,1
Hejiaji,37.3539,37.3539,37.3539,1
Jacala,21.0053,21.0053,21.0053,1
Paraíso,9.8432,15.4131,18.3961,3
Batang,-6.9081,-6.9081,-6.9081,1
Ecatzingo,18.95,18.95,18.95,1
Lincolnia,38.8158,38.8158,38.8158,1
Okuizumo,35.1973,35.1973,35.1973,1
Ocean Pointe,21.3145,21.3145,21.3145,1
Negotino,41.4839,41.4839,41.4839,1
Bischheim,48.6139,48.6139,48.6139,1
Fatehpur Bāla,25.8338,25.8338,25.8338,1
Hamlin,43.3213,43.3213,43.3213,1
Biržai,56.2,56.2,56.2,1
Yonabaru,26.1995,26.1995,26.1995,1
Gölpazarı,40.2847,40.2847,40.2847,1
Yangfang,40.5723,40.5723,40.5723,1
Rahden,52.4167,52.4167,52.4167,1
Kiskunmajsa,46.4923,46.4923,46.4923,1
Santa Vitória,-18.8389,-18.8389,-18.8389,1
Altônia,-23.8739,-23.8739,-23.8739,1
Tha Yang,12.9658,12.9658,12.9658,1
Sitampiky,-16.6667,-16.6667,-16.6667,1
Bhopatpur,26.4495,26.4495,26.4495,1
Huanian,24.0781,24.0781,24.0781,1
Guamá Abajo,19.9758,19.9758,19.9758,1
Vikārābād,17.33,17.33,17.33,1
Satravāda,13.3201,13.3201,13.3201,1
Tirschenreuth,49.8833,49.8833,49.8833,1
Venâncio Aires,-29.6058,-29.6058,-29.6058,1
Quarteira,37.069,37.069,37.069,1
Scheveningen,52.1081,52.1081,52.1081,1
Shāhpur Baghauni,25.8831,25.8831,25.8831,1
Soavina Antanety,-19.8,-19.8,-19.8,1
Albany,-35.0228,19.767925,44.6272,4
Bevonotra,-14.05,-14.05,-14.05,1
Duraiswāmipuram,9.4233,9.4233,9.4233,1
Antanimora Atsinanana,-24.8167,-24.8167,-24.8167,1
Szentes,46.651,46.651,46.651,1
Rodeo,-30.2164,3.9101505,38.0367,2
Parker,34.8513,37.179848,39.5084,2
Gitega,-3.426,-3.426,-3.426,1
Parkes,-33.133,-33.133,-33.133,1
Pukhrāyān,26.23,26.23,26.23,1
Rufino,-34.2667,-34.2667,-34.2667,1
Karnāwad,22.7361,22.7361,22.7361,1
Rodez,44.3506,44.3506,44.3506,1
Bhelsi,24.7866,24.7866,24.7866,1
Amarwāra,22.2978,22.2978,22.2978,1
Weinheim,49.55,49.55,49.55,1
Mineshita,35.1185,35.1185,35.1185,1
San Agustín,1.9,1.9,1.9,1
Kozienice,51.5833,51.5833,51.5833,1
Chaumont,48.1117,48.1117,48.1117,1
Korogwe,-5.1558,-5.1558,-5.1558,1
Coronel Dorrego,-38.7,-38.7,-38.7,1
Karlovo,42.6436,42.6436,42.6436,1
Pānakkudi,8.3492,8.3492,8.3492,1
Malacatán,14.9106,14.9106,14.9106,1
Yamamoto,37.9627,37.9627,37.9627,1
Bourke,-30.1,-30.1,-30.1,1
Jaitwār,24.732,24.732,24.732,1
Borj el Qoblé,33.2631,33.2631,33.2631,1
Boyabat,41.4653,41.4653,41.4653,1
Urlaţi,44.9911,44.9911,44.9911,1
Além Paraíba,-21.8878,-21.8878,-21.8878,1
Kushima,31.4681,31.4681,31.4681,1
Baia Mare,47.6667,47.6667,47.6667,1
Besana in Brianza,45.7,45.7,45.7,1
Aljustrel,37.9167,37.9167,37.9167,1
San Rafael Pie de la Cuesta,14.9333,14.9333,14.9333,1
Atuntaqui,0.3317,0.3317,0.3317,1
Kadūr Sāhib,31.4239,31.4239,31.4239,1
Pitanga,-24.7569,-24.7569,-24.7569,1
Jāvagallu,13.3,13.3,13.3,1
Al Qbab,32.7333,32.7333,32.7333,1
Lengerich,52.175,52.175,52.175,1
Nong Bua Lamphu,17.2042,17.2042,17.2042,1
Scherpenheuvel,51.0103,51.0103,51.0103,1
Pendurti,17.8278,17.8278,17.8278,1
Atyrá,-25.2786,-25.2786,-25.2786,1
Rutherglen,55.828,55.828,55.828,1
Pīlibhīt,28.6333,28.6333,28.6333,1
El Mansouria,33.75,33.75,33.75,1
Coralville,41.699,41.699,41.699,1
Addanki,15.811,15.811,15.811,1
São Tomé,-5.9728,-5.9728,-5.9728,1
Dokuchaievsk,47.7506,47.7506,47.7506,1
Żurrieq,35.8292,35.8292,35.8292,1
Wildomar,33.6173,33.6173,33.6173,1
Ash Shaykh Badr,34.9833,34.9833,34.9833,1
Maināguri,26.564,26.564,26.564,1
Rāzole,16.4761,16.4761,16.4761,1
Kaspiysk,42.8803,42.8803,42.8803,1
Sânnicolau Mare,46.0636,46.0636,46.0636,1
